filename,labels
Coca Cola Commercial.mp4,"['coca cola', 'drink', 'cola', 'pepsi', 'soft drink']"
Tesla - Revolutionize Your Commute.mp4,"['road', 'highway', 'family car', 'wheel', 'mid size car', 'automotive exterior', 'tesla', 'electric vehicle', 'performance car', 'car', 'luxury vehicle', 'transport', 'land vehicle', 'sedan', 'vehicle', 'personal luxury car', 'lane', 'motor vehicle']"
